Num_Circo;Nom;Prenom;Nb_Voix;Prenom_Nom;sexe
033-06;FERGEAU-RENAUX;Vanessa;0;;
033-07;COUILLARD;Bérangère;20964;Bérangère_COUILLARD;femme
033-07;FERRAN;Jean-Renaud;0;;
033-08;PANONACLE;Sophie;31442;Sophie_PANONACLE;femme
033-08;LAMARA;Laurent;0;;
033-09;METTE;Sophie;22950;Sophie_METTE;femme
033-09;ANDRÉ;Sacha;0;;
033-10;BOUDIÉ;Florent;19581;Florent_BOUDIÉ;homme
033-10;CHADOURNE;Sandrine;0;;
033-11;DIAZ;Edwige;25092;Edwige_DIAZ;femme
033-11;HAMMERER;Véronique;0;;
033-12;LAVERGNE;Pascal;20364;Pascal_LAVERGNE;homme
033-12;FELD;Mathilde;0;;
034-01;MIRALLES;Patricia;19338;Patricia_MIRALLES;femme
034-01;COLET;Julien;0;;
034-02;OZIOL;Nathalie;17008;Nathalie_OZIOL;femme
034-02;YAGUE;Annie;0;;
034-03;CRISTOL;Laurence;22907;Laurence_CRISTOL;femme
034-03;MIGNACCA;Julia;0;;
034-04;ROME;Sébastien;26291;Sébastien_ROME;homme
034-04;BOUQUIN;Manon;0;;
034-05;GALZY;Stéphanie;23695;Stéphanie_GALZY;femme
034-05;POLARD;Pierre;0;;
034-06;MÉNARD;Emmanuelle;26255;Emmanuelle_MÉNARD;femme
034-06;CROZIER-DANIEL;Magali;0;;
034-07;LOPEZ LIGUORI;Aurélien;27378;Aurélien_LOPEZ LIGUORI;homme
034-07;BLASCO;Gabriel;0;;
034-08;CARRIERE;Sylvain;19483;Sylvain_CARRIERE;homme
034-08;DELAPIERRE;Cédric;0;;
034-09;VIGNAL;Patrick;19520;Patrick_VIGNAL;homme
034-09;BELAOUNI;Nadia;0;;
035-01;MATHIEU;Frédéric;25205;Frédéric_MATHIEU;homme
035-01;SAOUD;Hind;0;;
035-02;MAILLART-MÉHAIGNERIE;Laurence;28165;Laurence_MAILLART-MÉHAIGNERIE;femme
035-02;LAHAIS;Tristan;0;;
035-03;ROUAUX;Claudia;23784;Claudia_ROUAUX;femme
035-03;MARTINS;Christophe;0;;
035-04;HIGNET;Mathilde;22856;Mathilde_HIGNET;femme
035-04;PATAULT;Anne;0;;
035-05;LE NABOUR-CLOAREC;Christine;29690;Christine_LE NABOUR-CLOAREC;femme
035-05;RENAULT;Gilles;0;;
