index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5272;Monique;LECLERC;femme;;091-10;LO;;Divers extrême gauche;
5273;Hanna;REHAB;femme;;091-10;DVE;;Ecologistes;
5274;Stephane;CAMUS;homme;;091-10;DLF;;Divers droite;
5275;Claudine;CORMIER;femme;;091-10;Parti animaliste;;Ecologistes;
5276;Inès;VERA-FONTANO;femme;;091-10;Reconquête;;Reconquête !;
5277;Marie;GODIER;femme;;091-10;RN;;Rassemblement National;
5278;Antoine;LÉAUMENT;homme;;091-10;LFI;;La France Insoumise;https://twitter.com/ALeaument
5279;Abdelaziz;BENTAJ;homme;;092-01;LR;;Les Républicains;
5280;Corinne;DANGAS;femme;;092-01;Parti pirate;;Divers;
5281;Gaël;QUIRANTE;homme;;092-01;EXG;;Divers extrême gauche;
5282;Samir;BOUMEDIENNE;femme;;092-01;UDMF;;Divers;
5283;Anna;LE GAL;femme;;092-01;DVE;;Ecologistes;
5284;Marie-Laure;DÉCAILLET;femme;;092-01;Reconquête;;Reconquête !;
5285;Mariam;CAMARA;femme;;092-01;RN;;Rassemblement National;
5286;Corinne;JAN;femme;;092-01;EXG;;Divers extrême gauche;
5287;Gary;CHOLLET;homme;;092-01;Parti animaliste;;Ecologistes;
5288;Zina;BOUNAB;femme;;092-01;LO;;Divers extrême gauche;
5289;Elsa;FAUCILLON;femme;checked;092-01;PCF;;Parti communiste français;https://twitter.com/ElsaFaucillon
5290;Marie-Ange;BADIN;femme;;092-01;LRM;;Ensemble ! (Majorité présidentielle);
5291;Christel;ISAAC;femme;;092-02;DVE;;Ecologistes;
5292;Laurent;MARTIN SAINT LEON;homme;;092-02;DVC;;Divers centre;
5293;Marine;DAGEVILLE;femme;;092-02;NPA;;Divers extrême gauche;
5294;Sébastien;PERROTEL;homme;;092-02;DVD;;Divers droite;
5295;Marie-Do;AESCHLIMANN;femme;;092-02;LR;;Les Républicains;
5296;Francesca;PASQUINI;femme;;092-02;EE-LV;;Ecologistes;https://twitter.com/FMPasquini
5297;Antoine;BRUNET;homme;;092-02;EXG;;Divers extrême gauche;
5298;Digui;BICHARA;homme;;092-02;DVC;;Divers centre;
5299;Frédérique;BERTIER;femme;;092-02;Reconquête;;Reconquête !;
5300;Emilia;DENOO;femme;;092-02;Parti animaliste;;Ecologistes;
5301;Baï-Audrey;ACHIDI;femme;;092-02;LRM;;Ensemble ! (Majorité présidentielle);
5302;Karima;BELLOUFA;femme;;092-02;UDMF;;Divers;
5303;Hadrien;LAURENT;homme;;092-02;PRG;;Parti radical de gauche;
5304;Michel;FABRE;homme;;092-02;LO;;Divers extrême gauche;
5305;Philippe;MILLOT;homme;;092-02;RN;;Rassemblement National;
5306;Aurélie;TAQUILLAIN;femme;;092-03;LRM;;Ensemble ! (Majorité présidentielle);
5307;Barthelemy;PIRON;homme;;092-03;EXG;;Divers extrême gauche;
5308;Abdel;BELKADI;homme;;092-03;UDMF;;Divers;
5309;Agnès;LAFFITE;femme;;092-03;RN;;Rassemblement National;
5310;Béatrice;BAUDRANT;femme;;092-03;DIV;;Divers;
5311;Vincent;MANRESA;homme;;092-03;Parti animaliste;;Ecologistes;
5312;Jean-Marie;PARRY;homme;;092-03;LO;;Divers extrême gauche;
5313;Philippe;JUVIN;homme;;092-03;LR;;Les Républicains;https://twitter.com/philippejuvin
5314;Anabelle;GUEDJ;femme;;092-03;Reconquête;;Reconquête !;
5315;Sara;TIJ;femme;;092-03;LFI;;La France Insoumise;https://twitter.com/sarinsoumise
5316;Eric;SCHOENHENZ;homme;;092-04;DIV;;Divers;
5317;Laurent;STRUMANNE;homme;;092-04;LO;;Divers extrême gauche;
5318;Michel;ALLAIN;homme;;092-04;EXG;;Divers extrême gauche;
5319;Habiba;BIGDADE;femme;;092-04;FGR;;Divers gauche;
5320;Florence;MULLER;femme;;092-04;Reconquête;;Reconquête !;
5321;Philippe;COMBAZ;homme;;092-04;DVE;;Ecologistes;
5322;Valéry;BARNY;homme;;092-04;DVE;;Ecologistes;
5323;Isabelle;FLORENNES;femme;;092-04;MDM,LRM;;Ensemble ! (Majorité présidentielle);
5324;Sabrina;SEBAIHI;femme;;092-04;EE-LV;;Ecologistes;https://twitter.com/SabrinaSebaihi
5325;Mélina;BRAVO;femme;;092-04;RN;;Rassemblement National;
5326;Youcef;SAHRAOUI BRAHIM;homme;;092-04;DVG;;Divers gauche;
5327;Mathilde;EISENBERG;femme;;092-04;NPA;;Divers extrême gauche;
5328;Guilhem;SAÏZ;homme;;092-04;Parti animaliste;;Ecologistes;
5329;Nagib;AZERGUI;homme;;092-04;UDMF;;Divers;
5330;Mireille;LAMBERT;femme;;092-05;LO;;Divers extrême gauche;
5331;Pierre;CHASSAT;homme;;092-05;LR;;Les Républicains;
5332;Agnieszka;GEBARSKA;femme;;092-05;RN;;Rassemblement National;
5333;Fabrice;GAROYAN;homme;;092-05;DLF;;Droite souverainiste;
5334;Rezk;SEHATA;homme;;092-05;DVE;;Ecologistes;
5335;Sonia;RABOTOSON;femme;;092-05;DVD;;Divers droite;
5336;Oussama;ADREF;homme;;092-05;UDMF;;Divers;
5337;Zaya;GACEM;femme;;092-05;EXG;;Divers extrême gauche;
5338;Cyril;CROSNIER LECONTE;homme;;092-05;Parti animaliste;;Ecologistes;
5339;Mina;KHALIL;femme;;092-05;EXG;;Divers extrême gauche;
5340;Caroline;MERCIER;femme;;092-05;DIV;;Divers;
5341;Léa;DRUET;femme;;092-05;LFI;;La France Insoumise;
5342;Céline;CALVEZ;femme;checked;092-05;LRM;;Ensemble ! (Majorité présidentielle);
5343;Alexandre;ROUSSET-LEBLOND;homme;;092-05;Reconquête;;Reconquête !;
5344;Denis Marie;MARCHISET;femme;;092-06;DVE;;Ecologistes;
5345;Fayza;BASINI;femme;;092-06;LRM;checked;Ensemble ! (Majorité présidentielle);
5346;Benoit;AGUELON;homme;;092-06;MdR;;Divers droite;
5347;Franck;KELLER;homme;;092-06;Reconquête;;Reconquête !;
5348;Bilèle;KHADOUR;homme;;092-06;UDMF;;Divers;
5349;Adama;TRAORE;homme;;092-06;DVC;;Divers centre;
5350;Julie;BARBAUX;femme;;092-06;LFI;;La France Insoumise;
5351;Frank;TAPIRO;homme;;092-06;DVC;;Divers centre;
5352;Patrick;PESSIS;homme;;092-06;LR;;Les Républicains;
5353;Marie-Caroline;LE PEN;femme;;092-06;RN;;Rassemblement National;
5354;Françoise;MARCEL;femme;;092-06;LO;;Divers extrême gauche;
5355;Constance;LE GRIP;femme;checked;092-06;LRM;;Ensemble ! (Majorité présidentielle);
5356;Jeanne;BIRTIC;femme;;092-07;Patriotes;;Droite souverainiste;
5357;Agnès;DUMONT;femme;;092-07;Reconquête;;Reconquête !;
5358;Anne Denis Mercedes;BROCHOT;femme;;092-07;EXG;;Divers extrême gauche;
5359;Sandro;RATO;homme;;092-07;LFI;;La France Insoumise;https://twitter.com/RatoSandro
5360;Pascal;HALARY;homme;;092-07;DIV;;Divers;
5361;Guillaume;HLAVACEK;homme;;092-07;Parti pirate;;Divers;
5362;Cécile;ABAD;femme;;092-07;LO;;Divers extrême gauche;
5363;Pierre;CAZENEUVE;homme;;092-07;LRM;;Ensemble ! (Majorité présidentielle);
5364;Christophe;VERSINI;homme;;092-07;RN;;Rassemblement National;
5365;Charlotte;DUTHU;femme;;092-07;Parti animaliste;;Ecologistes;
5366;Xabi;ELIZAGOYEN;femme;;092-07;LR;;Les Républicains;
5367;Mokhtar;ATTAF;homme;;092-07;UDMF;;Divers;
5368;Christophe;MANDEREAU;homme;;092-07;DVE;;Ecologistes;
5369;Frédéric;SCHNEIDER;homme;;092-08;Parti pirate;;Divers;
5370;Annie;LARROQUE-COMOY;femme;;092-08;LFI;;La France Insoumise;
5371;Laurence;LABBÉ;femme;;092-08;Parti animaliste;;Ecologistes;
5372;Chantal;TARANNE;femme;;092-08;Reconquête;;Reconquête !;
5373;Olivier Mario Michel;PITTONI;homme;;092-08;Patriotes;;Droite souverainiste;
5374;Prisca;THEVENOT;femme;;092-08;LRM;;Ensemble ! (Majorité présidentielle);
5375;Philippe;HENIQUE;homme;;092-08;LO;;Divers extrême gauche;
5376;Cécile;RICHEZ;femme;;092-08;LR;;Les Républicains;
5377;Sarena;HABIB;femme;;092-08;RN;;Rassemblement National;
5378;Miron;CUSA;homme;;092-08;DVE;;Ecologistes;
5379;Pauline;RAPILLY FERNIOT;femme;;092-09;EE-LV;;Ecologistes;https://twitter.com/Pauline_RF
5380;Elena;SAUTERAY;femme;;092-09;NPA;;Divers extrême gauche;
5381;Monia;ASMANI;femme;;092-09;UDMF;;Divers;
5382;Nathalie;GAUDÉ;femme;;092-09;RN;;Rassemblement National;
5383;Julien;DESNOS;homme;;092-09;MdR;;Divers droite;
5384;Laurent;VIOLLEAU;homme;;092-09;FGR;;Divers gauche;
5385;Anne-Laure;CHAUDON;femme;;092-09;LO;;Divers extrême gauche;
5386;Guillaume;BESSIÈRES;homme;;092-09;Reconquête;;Reconquête !;
5387;Léopold;CHESNEAU;homme;;092-09;Parti animaliste;;Ecologistes;
5388;Pascal;LOUAP;homme;;092-09;LR;;Les Républicains;
5389;Antoine;DE JERPHANION;homme;;092-09;DVD;;Divers droite;
5390;Emmanuel;PELLERIN;homme;;092-09;LRM;;Ensemble ! (Majorité présidentielle);
5391;Cécile;SOUBELET;femme;;092-10;PS;;Parti socialiste;https://twitter.com/cecilesou
5392;Laurence;VIGUIÉ;femme;;092-10;LO;;Divers extrême gauche;
5393;Edith;CABERAS;femme;;092-10;REG;;Régionaliste;
5394;Samir;AMRANI;homme;;092-10;UDMF;;Divers;
5395;Hadrien;PETIT;homme;;092-10;RN;;Rassemblement National;
5396;Alexis;ESCALE;homme;;092-10;Parti animaliste;;Ecologistes;
5397;Gabriel;ATTAL;homme;;092-10;LRM;;Ensemble ! (Majorité présidentielle);
5398;Azedine;EL BOUZAIDI;homme;;092-10;DVE;;Ecologistes;
5399;Léa;BESSIÈRES;femme;;092-10;Reconquête;;Reconquête !;
5400;Vanessa;RONCHINI;femme;;092-10;NPA;;Divers extrême gauche;
5401;Mustapha;SEHILI;homme;;092-11;UDMF;;Divers;
5402;Xavier;CHIARELLI;homme;;092-11;EXG;;Divers extrême gauche;
5403;Juliette;CHATELAIN;femme;;092-11;RN;;Rassemblement National;
5404;Philippe;PONGE;homme;;092-11;DIV;;Divers;
5405;Aurélien;SAINTOUL;homme;;092-11;LFI;;La France Insoumise;https://twitter.com/Aurelien_Stl
5406;Philippe;GEOFFRE;homme;;092-11;EXG;;Divers extrême gauche;
5407;Laurianne;ROSSI;femme;checked;092-11;LRM;;Ensemble ! (Majorité présidentielle);
5408;Franck;ROLLOT;homme;;092-11;LO;;Divers extrême gauche;
5409;Florence;LÉVÊQUE;homme;;092-11;Reconquête;;Reconquête !;
5410;Dominique Chantal;BROUSSAUDIER;femme;;092-11;Parti animaliste;;Ecologistes;
5411;Marc;THOMAS;homme;;092-12;RN;;Rassemblement National;
5412;Cathy;THOMAS;femme;;092-12;LFI;;La France Insoumise;https://twitter.com/CathyThomas_off
5413;Yann;BERNARD;homme;;092-12;LO;;Divers extrême gauche;
5414;Benoit;BLOT;homme;;092-12;LR;;Les Républicains;
5415;Florent;NOBLET;homme;;092-12;Reconquête;;Reconquête !;
5416;Céline;GABEN;femme;;092-12;SOUV;;Droite souverainiste;
5417;Kamel;GHALEB;homme;;092-12;UDMF;;Divers;
5418;Laurent;VASTEL;homme;;092-12;UDI;;Union des Démocrates et des Indépendants;
5419;Guillaume;PREVEL;homme;;092-12;Parti animaliste;;Ecologistes;
5420;Hayat;BAKHTI;femme;;092-12;DVE;;Ecologistes;
5421;Jean-Louis;BOURLANGES;homme;checked;092-12;MDM,LRM;;Ensemble ! (Majorité présidentielle);
5422;Florian;SAMIEZ;homme;;092-12;Parti pirate;;Divers;
5423;David;BENOIST;homme;;092-13;Parti animaliste;;Ecologistes;
5424;Agathe;MARTIN;femme;;092-13;LO;;Divers extrême gauche;
5425;Maud;BREGEON;femme;;092-13;LRM;;Ensemble ! (Majorité présidentielle);
5426;Farid;NASSIMI;homme;;092-13;UDMF;;Divers;
5427;Numa;ISNARD;homme;;092-13;LR;;Les Républicains;
5428;Julien;GAUTRELET;homme;;092-13;PRG;;Parti radical de gauche;
5429;Philippe;LAURENT;homme;;092-13;UDI;;Union des Démocrates et des Indépendants;
5430;Patrick;YVARS;homme;;092-13;RN;;Rassemblement National;
5431;Brice;GAILLARD;homme;;092-13;PS;;Parti socialiste;
5432;Alexis;TOYANE;homme;;092-13;Parti pirate;;Divers;
5433;Thibault;SIMONIN;homme;;092-13;Reconquête;;Reconquête !;
5434;Madioula;AÏDARA DIABY;femme;;093-01;DVG;;Divers gauche;
5435;Fouzia;ZEKRI;femme;;093-01;FGR;;Divers gauche;
5436;Mohamed-Jamil;ABID;homme;;093-01;DVG;;Divers gauche;
5437;Maïa;BAHLOUL;femme;;093-01;EXG;;Divers extrême gauche;
5438;Jeanne;DROMARD;femme;;093-01;LRM;;Ensemble ! (Majorité présidentielle);
5439;Etienna;ETIENNE;femme;;093-01;UDI;;Union des Démocrates et des Indépendants;
5440;Marianne;DARMON;femme;;093-01;DVG;;Divers gauche;
5441;Alain;AUBRY;homme;;093-01;LO;;Divers extrême gauche;
5442;François;PÉGUILLET;homme;;093-01;LR;;Les Républicains;
5443;Jérôme;HIRIGOYEN;homme;;093-01;DVE;;Ecologistes;
5444;Francois;DEROCHE;homme;;093-01;DVC;;Divers centre;
5445;Olga;EDE;femme;;093-01;DVC;;Divers centre;
5446;Anne-Solenne;BUSCH;femme;;093-01;Reconquête;;Reconquête !;
5447;Marie;BRAND;femme;;093-01;RN;;Rassemblement National;
5448;Eric;COQUEREL;homme;checked;093-01;LFI;;La France Insoumise;https://twitter.com/ericcoquerel
5449;Sinaa;THABET;femme;;093-02;LR;;Les Républicains;
5450;Bakary;SOUKOUNA;homme;;093-02;DVG;;Divers gauche;
5451;Brahim;CHIKHI;homme;;093-02;DVC;;Divers centre;
5452;Stéphane;PEU;homme;checked;093-02;PCF;;Parti communiste français;https://twitter.com/stephane1peu
5453;Jean-Christophe;BROSSARD;homme;;093-02;EXG;;Divers extrême gauche;
5454;Luc;COLOMAS;homme;;093-02;RN;;Rassemblement National;
5455;Anaïs;BROOD;femme;;093-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
5456;Agnès;RENAUD;femme;;093-02;LO;;Divers extrême gauche;
5457;Aurélien;PICHARD;homme;;093-02;DVE;;Ecologistes;
5458;Aurélia;BARDY;femme;;093-02;Reconquête;;Reconquête !;
5459;Christelle;VÉTIL;femme;;093-02;UDI;;Union des Démocrates et des Indépendants;
5460;Denis;CRETIN-GIELLY;homme;;093-03;RN;;Rassemblement National;
5461;Joseph;ZRIHEN;homme;;093-03;DVC;;Divers centre;
5462;Patrice;ANATO;homme;checked;093-03;LRM;;Ensemble ! (Majorité présidentielle);
5463;Thomas;PORTES;homme;;093-03;LFI;;La France Insoumise;https://twitter.com/Portes_Thomas
5464;Harald;POILLOT;homme;;093-03;LR;;Les Républicains;
5465;Louise;BEN MAMI;femme;;093-03;DVE;;Ecologistes;
5466;Maëlle Massandjie;TOURE;femme;;093-03;DIV;;Divers;
5467;Fathia;CHELKI;femme;;093-03;UDMF;;Divers;
5468;Maëlle;GAUCHERAND;femme;;093-03;LO;;Divers extrême gauche;
5469;Albert;MELKA;homme;;093-03;FGR;;Divers gauche;
5470;Nathalie;AMOUROUX;femme;;093-03;DVE;;Ecologistes;
5471;Geneviève;ENAUD;femme;;093-03;EXG;;Divers extrême gauche;
5472;Myriam;BORDREUIL;femme;;093-03;Reconquête;;Reconquête !;
5473;Sandrine;CAMPANA;femme;;093-03;Patriotes;;Droite souverainiste;
5474;Aly;DIOUARA;homme;;093-04;DIV;;Divers;
5475;Marlène;LEY;femme;;093-04;LO;;Divers extrême gauche;
5476;Azzédine;TAÏBI;homme;;093-04;DVG;;Divers gauche;
5477;Soumya;BOUROUAHA;femme;;093-04;PCF;;Parti communiste français;
5478;Stéphane;SOURDILLAT;homme;;093-04;DVE;;Ecologistes;
5479;Sabine;DESBOEUF;femme;;093-04;EXG;;Divers extrême gauche;
5480;Colette;LÉVÊQUE;femme;;093-04;RN;;Rassemblement National;
5481;Zouhairr;ECH-CHETOUANI;homme;;093-04;UDMF;;Divers;
5482;Lova;RINEL;femme;;093-04;LRM;;Ensemble ! (Majorité présidentielle);
5483;Vanessa;PETTITT;femme;;093-04;Reconquête;;Reconquête !;
5484;Marie-Claude;GOUREAU;femme;;093-04;LR;;Les Républicains;
5485;Sonia;ATTIG;femme;;093-04;DVG;;Divers gauche;
5486;Nelly;LESTRADET;femme;;093-05;RN;;Rassemblement National;
5487;Corinne;CORBANI;femme;;093-05;EXG;;Divers extrême gauche;
5488;Geoffroy;DESBOIS;homme;;093-05;DVE;;Ecologistes;
5489;Raynald;ROUECHE;homme;;093-05;DVC;;Divers centre;
5490;Raphaël;LIBERT;homme;;093-05;Reconquête;;Reconquête !;
5491;Raquel;GARRIDO;femme;;093-05;LFI;;La France Insoumise;https://twitter.com/RaquelGarridoFr
5492;Sonia;AIROUCHE;femme;;093-05;Résistons;;Régionaliste;
5493;Nabil;AIT AKKACHE;homme;;093-05;LRM;;Ensemble ! (Majorité présidentielle);
5494;Gilles;SAULIERE;homme;;093-05;DVE;;Ecologistes;
5495;Amel;HORMI;femme;;093-05;FGR;;Divers gauche;
5496;Jean-Christophe;LAGARDE;homme;checked;093-05;UDI;;Union des Démocrates et des Indépendants;
5497;Rodolphe;FEGER;homme;;093-05;LO;;Divers extrême gauche;
5498;Nao;ARGOUSE;femme;;093-05;Parti pirate;;Divers;
5499;Kourtoum;SACKHO;femme;;093-06;UDI;;Union des Démocrates et des Indépendants;
5500;Françoise;TROVA;femme;;093-06;RN;;Rassemblement National;
5501;Ali;ZEROUALI;homme;;093-06;UDMF;;Divers;
5502;Soumia;ACHFAA;femme;;093-06;PRG;;Parti radical de gauche;
5503;Patrick;CHAMPION;homme;;093-06;EXG;;Divers extrême gauche;
5504;Nabila;DJEBBARI;femme;;093-06;DVG;;Divers gauche;
5505;Nathalie;ARTHAUD;femme;;093-06;LO;;Divers extrême gauche;
5506;Bastien;LACHAUD;homme;checked;093-06;LFI;;La France Insoumise;https://twitter.com/LachaudB
5507;Aïcha;BOURAK;femme;;093-06;DIV;;Divers;
5508;Yasmina;BAZIZ;femme;;093-06;LRM;;Ensemble ! (Majorité présidentielle);
5509;Noélie;BEUGRÉ;femme;;093-06;Reconquête;;Reconquête !;
5510;Aymane;MABIALA;homme;;093-06;Parti pirate;;Divers;
5511;Hamid;CHAIR;homme;;093-07;PRG;;Parti radical de gauche;
