index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5613;Marie-Françoise;BAPTISTE;femme;;094-03;DLF;;Droite souverainiste;
5614;Catherine;MARQUES;femme;;094-03;DIV;;Divers;
5615;Didier;GONZALES;homme;;094-03;LR;;Les Républicains;
5616;André;YON;homme;;094-03;EXG;;Divers extrême gauche;
5617;Francis;PRETOT;homme;;094-03;RN;;Rassemblement National;
5618;Maud;PETIT;femme;checked;094-04;MDM,LRM;;Ensemble ! (Majorité présidentielle);
5619;Mirabelle;LEMAIRE;femme;;094-04;LFI;;La France Insoumise;https://twitter.com/MirabelLemaire
5620;Alain;PHILIPPET;homme;;094-04;RN;;Rassemblement National;
5621;Denis;VICENT;homme;;094-04;PCF;checked;Parti communiste français;
5622;Marie-Carole;CIUNTU;femme;;094-04;LR;;Les Républicains;
5623;Gerard;SCOTTO;homme;;094-04;Patriotes;;Droite souverainiste;
5624;Isabelle;YVOS;femme;;094-04;Parti animaliste;;Ecologistes;
5625;Véronique;MERLIN;femme;;094-04;Reconquête;;Reconquête !;
5626;Brigitte;MOULIN;femme;;094-04;LO;;Divers extrême gauche;
5627;Marie-Odile;PERRU;femme;;094-04;DVC;;Divers centre;
5628;Frédéric;DUBOUCHER;homme;;094-05;Parti animaliste;;Ecologistes;
5629;Stéphanie;VEYSSIÈRE;femme;;094-05;Reconquête;;Reconquête !;
5630;Matthieu;THENIN;homme;;094-05;DIV;;Divers;
5631;Guillaume;REUTHER;homme;;094-05;Patriotes;;Droite souverainiste;
5632;François;JOSLIN;homme;;094-05;LO;;Divers extrême gauche;
5633;Maxime;HENRY;homme;;094-05;Parti pirate;;Divers;
5634;Bruno;CHICHE;homme;;094-05;EXG;;Divers extrême gauche;
5635;Paul;BAZIN;homme;;094-05;LR;;Les Républicains;https://twitter.com/paulbazin
5636;Alain;MAHAUD;homme;;094-05;PCF;checked;Parti communiste français;
5637;Mathieu;LEFEVRE;homme;;094-05;LRM;;Ensemble ! (Majorité présidentielle);
5638;Julien;LEGER;homme;;094-05;PCF;;Parti communiste français;
5639;Isabelle;HUGUENIN-RICHARD;femme;;094-05;RN;;Rassemblement National;
5640;François;MASSOT;homme;;094-06;Parti pirate;;Régionaliste;
5641;Guillaume;GOUFFIER-CHA;homme;checked;094-06;LRM;;Ensemble ! (Majorité présidentielle);
5642;Alexandre;HERZOG;homme;;094-06;EXG;;Divers extrême gauche;
5643;Véronique;HUNAUT;femme;;094-06;LO;;Divers extrême gauche;
5644;Aniela;WYPOREK;femme;;094-06;DVE;;Ecologistes;
5645;Benoit;WILLARD;homme;;094-06;Résistons;;Régionaliste;
5646;May;BOUHADA;femme;;094-06;EE-LV;;Ecologistes;https://twitter.com/maybouhada2022
5647;Fabrice;GILLET;homme;;094-06;PCF;checked;Parti communiste français;
5648;Catherine;CHAPUT;femme;;094-06;RN;;Rassemblement National;
5649;Luc;ALONSO;homme;;094-06;DVC;;Parti radical de gauche;
5650;Xavier;CORNET;homme;;094-06;Parti animaliste;;Ecologistes;
5651;Jothi;BOURG;femme;;094-06;DIV;;Divers;
5652;Charles;TAIEB;homme;;094-06;Reconquête;;Reconquête !;
5653;Huguette;FRIEH;femme;;094-06;UDI;;Union des Démocrates et des Indépendants;
5654;Tony;RENAULT;homme;;094-06;DVE;;Ecologistes;
5655;Noël;NADAL;homme;;094-07;Reconquête;;Reconquête !;
5656;Rachel;KEKE;femme;;094-07;LFI;;La France Insoumise;
5657;Claire;MAURY;femme;;094-07;LO;;Divers extrême gauche;
5658;Gaëlle;DEBBACHE;femme;;094-07;Parti pirate;;Régionaliste;
5659;Pascale;CORBIN;femme;;094-07;Parti animaliste;;Ecologistes;
5660;Ugo;IANNUZZI;homme;;094-07;RN;;Rassemblement National;
5661;Vincent;JEANBRUN;homme;;094-07;LR;;Les Républicains;
5662;Roxana;MARACINEANU;femme;;094-07;LRM;;Ensemble ! (Majorité présidentielle);
5663;El-Mehdi;LEMAANNI;homme;;094-07;DIV;;Divers;
5664;Erik;PAGÈS;homme;;094-08;LFI;;Ecologistes;
5665;Franck;CHALENDAR;homme;;094-08;Patriotes;;Droite souverainiste;
5666;Amandine;CHEYNS;femme;;094-08;LO;;Divers extrême gauche;
5667;Zohra;LAMIMI;femme;;094-08;PCF;checked;Parti communiste français;
5668;Mickaël;MOURLIN;homme;;094-08;EXG;;Divers extrême gauche;
5669;Stéphanie;HUGON;femme;;094-08;DVG;;Divers gauche;
5670;Olivier;BUCLIN;homme;;094-08;Reconquête;;Reconquête !;
5671;Elisabeth;VUILLARD;femme;;094-08;RN;;Rassemblement National;
5672;Alexandra;SCOTTO;femme;;094-08;Parti animaliste;;Ecologistes;
5673;Michel;HERBILLON;homme;checked;094-08;LR;;Les Républicains;
5674;Emmanuelle;WARGON;femme;;094-08;LRM;;Ensemble ! (Majorité présidentielle);
5675;Simone;BENOUADAH;femme;;094-09;Reconquête;;Reconquête !;
5676;Lufian;NDONGALA;homme;;094-09;DIV;;Divers;
5677;Isabelle;SANTIAGO;femme;checked;094-09;PS;;Parti socialiste;https://twitter.com/isasantiago_94
5678;Christophe;JAUBERT;homme;;094-09;DVE;;Ecologistes;
5679;Sandrine;RUCHOT;femme;;094-09;LO;;Divers extrême gauche;
5680;Monia;MAHMOUDI;femme;;094-09;DIV;;Divers;
